Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
5962,4,4,Sports,3,Steam Achievements,Teen
5931,5,6,Indie,5,Atmospheric,Teen
5913,6,5,Shooter,4,Steam Achievements,Teen
5909,9,5,Adventure,3,Steam Achievements,Teen
5893,9,3,Action,4,Atmospheric,Teen
5893,12,1,Adventure,1,Atmospheric,Teen
5890,4,5,Puzzle,7,Steam Achievements,Teen
5870,7,2,Action,3,Multiplayer,Teen
5869,12,4,Adventure,7,Steam Achievements,Teen
5843,9,6,Adventure,8,Atmospheric,Teen
5842,4,5,Action,4,Steam Achievements,Teen
5840,10,3,Shooter,3,Steam Achievements,Teen
5823,3,3,Indie,2,Atmospheric,Mature
5787,18,3,Shooter,3,Multiplayer,Mature
5771,5,6,Indie,5,Great Soundtrack,Mature
5760,3,3,Simulation,1,Multiplayer,Mature
5739,2,7,Adventure,8,Steam Achievements,Mature
5706,22,4,Action,5,Multiplayer,Mature
5686,6,5,Action,5,Steam Achievements,Mature
5684,4,3,Action,1,Steam Achievements,Mature
5675,5,1,RPG,3,Steam Achievements,Mature
5664,25,4,Shooter,4,Steam Achievements,Mature
5659,5,3,Action,3,Multiplayer,Mature
5658,2,4,Action,5,Multiplayer,Mature
5655,2,2,Simulation,2,Steam Achievements,Mature
5641,31,4,RPG,5,steam-trading-cards,Mature
5612,29,3,Shooter,4,Multiplayer,Mature
5577,5,3,Shooter,3,Steam Achievements,Mature
5573,33,3,RPG,3,no tag,Mature
5569,11,4,Shooter,5,Steam Achievements,Mature
5569,4,5,RPG,5,Atmospheric,Mature
5562,7,3,RPG,1,Zombies,Mature
5476,15,1,Adventure,1,exclusive,Mature
5474,20,3,Shooter,4,Multiplayer,Mature
5471,4,4,Sports,3,Steam Achievements,Mature
5462,3,5,Action,3,Steam Achievements,Mature
5452,5,3,Strategy,1,Steam Achievements,Mature
5446,13,4,Action,5,Steam Achievements,Mature
5442,15,3,RPG,3,Atmospheric,Mature
5428,5,3,Action,1,Steam Achievements,Mature
5425,5,4,RPG,5,Steam Achievements,Mature
5410,5,4,Action,4,Steam Achievements,Mature
5410,15,3,Shooter,4,Steam Achievements,Mature
5392,6,5,Adventure,5,Steam Achievements,Mature
5384,1,6,Adventure,4,Multiplayer,Mature
5383,5,2,RPG,2,Steam Achievements,Mature
5371,2,3,Adventure,3,Atmospheric,Mature
